DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
15;268;15268;Le Rouget-Pers;15;268;15268;Le Rouget;1017;12;1029
16;005;16005;Aigre;16;005;16005;Aigre;1074;15;1089
16;186;16186;Lignières-Ambleville;16;010;16010;Ambleville;159;4;163
16;339;16339;Val-d'Auge;16;017;16017;Anville;172;2;174
16;339;16339;Val-d'Auge;16;051;16051;Bonneville;143;4;147
16;082;16082;Boisné-La Tude;16;082;16082;Charmant;332;7;339
16;082;16082;Boisné-La Tude;16;092;16092;Chavenat;173;3;176
16;097;16097;Val-de-Cognac;16;097;16097;Cherves-Richemont;2276;92;2368
16;106;16106;Confolens;16;106;16106;Confolens;2654;129;2783
16;110;16110;Courcôme;16;110;16110;Courcôme;405;6;411
16;253;16253;Paizay-Naudouin-Embourie;16;126;16126;Embourie;64;1;65
16;204;16204;Bellevigne;16;129;16129;Éraville;197;3;200
16;206;16206;Mansle-les-Fontaines;16;140;16140;Fontclaireau;432;7;439
16;192;16192;Terres-de-Haute-Charente;16;149;16149;Genouillac;614;8;622
16;153;16153;Mainxe-Gondeville;16;153;16153;Gondeville;508;4;512
16;082;16082;Boisné-La Tude;16;172;16172;Juillaguet;156;0;156
16;224;16224;Montmérac;16;179;16179;Lamérac;212;6;218
16;186;16186;Lignières-Ambleville;16;186;16186;Lignières-Sonneville;545;18;563
16;192;16192;Terres-de-Haute-Charente;16;192;16192;Roumazières-Loubert;2368;40;2408
16;153;16153;Mainxe-Gondeville;16;202;16202;Mainxe;676;17;693
16;204;16204;Bellevigne;16;204;16204;Malaville;399;17;416
16;206;16206;Mansle-les-Fontaines;16;206;16206;Mansle;1660;24;1684
16;192;16192;Terres-de-Haute-Charente;16;214;16214;Mazières;90;6;96
16;224;16224;Montmérac;16;224;16224;Montchaude;513;6;519
16;339;16339;Val-d'Auge;16;228;16228;Montigné;174;2;176
16;233;16233;Mosnac-Saint-Simeux;16;233;16233;Mosnac;422;11;433
16;204;16204;Bellevigne;16;247;16247;Nonaville;196;6;202
16;192;16192;Terres-de-Haute-Charente;16;259;16259;La Péruse;483;63;546
16;286;16286;Rouillac;16;262;16262;Plaizac;135;2;137
16;281;16281;La Rochefoucauld-en-Angoumois;16;281;16281;La Rochefoucauld;2929;49;2978
16;286;16286;Rouillac;16;286;16286;Rouillac;1952;28;1980
16;106;16106;Confolens;16;322;16322;Saint-Germain-de-Confolens;72;2;74
16;028;16028;Barbezieux-Saint-Hilaire;16;327;16327;Saint-Hilaire;319;4;323
16;339;16339;Val-d'Auge;16;339;16339;Auge-Saint-Médard;306;5;311
16;281;16281;La Rochefoucauld-en-Angoumois;16;344;16344;Saint-Projet-Saint-Constant;1091;57;1148
16;233;16233;Mosnac-Saint-Simeux;16;351;16351;Saint-Simeux;545;14;559
16;097;16097;Val-de-Cognac;16;355;16355;Saint-Sulpice-de-Cognac;1179;17;1196
16;192;16192;Terres-de-Haute-Charente;16;376;16376;Suris;235;2;237
16;204;16204;Bellevigne;16;386;16386;Touzac;381;6;387
16;110;16110;Courcôme;16;391;16391;Tuzie;171;1;172
16;110;16110;Courcôme;16;410;16410;Villegats;225;5;230
16;005;16005;Aigre;16;411;16411;Villejésus;526;10;536
16;204;16204;Bellevigne;16;417;16417;Viville;101;1;102
17;397;17397;Saint-Savinien;17;001;17001;Agonnay;66;0;66
17;277;17277;Essouvert;17;040;17040;La Benâte;357;13;370
17;240;17240;Montendre;17;090;17090;Chardes;299;3;302
17;397;17397;Saint-Savinien;17;123;17123;Coulonge-sur-Charente;120;0;120
17;026;17026;Authon-Ébéon;17;144;17144;Ébéon;44;1;45
17;344;17344;Saint-Hilaire-de-Villefranche;17;169;17169;La Frédière;73;2;75
17;219;17219;Marennes-Hiers-Brouage;17;189;17189;Hiers-Brouage;633;5;638
17;219;17219;Marennes-Hiers-Brouage;17;219;17219;Marennes;5515;98;5613
17;340;17340;Saint-Pierre-La-Noue;17;272;17272;Péré;352;5;357
17;277;17277;Essouvert;17;277;17277;Saint-Denis-du-Pin;672;67;739
17;340;17340;Saint-Pierre-La-Noue;17;340;17340;Saint-Germain-de-Marencennes;1146;88;1234
17;344;17344;Saint-Hilaire-de-Villefranche;17;344;17344;Saint-Hilaire-de-Villefranche;1277;22;1299
17;240;17240;Montendre;17;456;17456;Vallet;261;5;266
18;023;18023;Baugy;18;023;18023;Baugy;1396;49;1445
19;010;19010;Argentat-sur-Dordogne;19;010;19010;Argentat;2723;113;2836
19;019;19019;Beaulieu-sur-Dordogne;19;019;19019;Beaulieu-sur-Dordogne;1117;17;1134
19;019;19019;Beaulieu-sur-Dordogne;19;032;19032;Brivezac;193;1;194
19;098;19098;Lagarde-Marc-la-Tour;19;098;19098;Lagarde-Enval;794;16;810
19;101;19101;Laguenne-sur-Avalouze;19;101;19101;Laguenne;1374;24;1398
19;123;19123;Malemort;19;123;19123;Malemort-sur-Corrèze;7504;149;7653
19;098;19098;Lagarde-Marc-la-Tour;19;127;19127;Marc-la-Tour;141;5;146
19;010;19010;Argentat-sur-Dordogne;19;183;19183;Saint-Bazile-de-la-Roche;134;2;136
19;101;19101;Laguenne-sur-Avalouze;19;185;19185;Saint-Bonnet-Avalouze;191;3;194
19;275;19275;Ussel;19;197;19197;Saint-Dézery;153;3;156
19;275;19275;Ussel;19;267;19267;La Tourette;198;5;203
19;123;19123;Malemort;19;282;19282;Venarsal;491;8;499
21;272;21272;Le Val-Larrey;21;073;21073;Bierre-lès-Semur;105;1;106
21;183;21183;Collonges-et-Premières;21;183;21183;Collonges-lès-Premières;924;10;934
21;452;21452;Neuilly-Crimolois;21;213;21213;Crimolois;994;10;1004
21;272;21272;Le Val-Larrey;21;272;21272;Flée;167;3;170
21;352;21352;Longeault-Pluvault;21;352;21352;Longeault;547;10;557
21;433;21433;Montigny-Mornay-Villeneuve-sur-Vingeanne;21;443;21443;Mornay;81;0;81
21;452;21452;Neuilly-Crimolois;21;452;21452;Neuilly-lès-Dijon;2436;23;2459
21;304;21304;Grancey-le-Château-Neuvelle;21;453;21453;Neuvelle-lès-Grancey;24;0;24
